peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n4,ampmax_n3,ampmax_n2,ampmax_n1,        ampmax_0,ampmax_p1,ampmax_p2,ampmax_p3,        num_samples,sample_rate,species
3811.376953125,58,2562.8682859474306,5522,3832.91015625,3725.244140625,3596.044921875,3574.51171875,3316.11328125,3208.447265625,3251.513671875,3229.98046875,63945,44100,Blue Jay
2885.44921875,53,2009.6367704220825,4145,2885.44921875,3402.24609375,2885.44921875,2863.916015625,5318.701171875,5189.501953125,2756.25,3423.779296875,63945,44100,Red-winged Blackbird
2799.31640625,53,1956.0649283422904,3998,1830.322265625,4888.037109375,2411.71875,1528.857421875,3186.9140625,2885.44921875,2820.849609375,2885.44921875,63945,44100,Red-winged Blackbird
2002.587890625,47,1492.9327522878455,2923,2002.587890625,5943.1640625,2045.654296875,5857.03125,1981.0546875,7536.62109375,1981.0546875,5878.564453125,63945,44100,American Crow
3140.625,55,2064.6758144450405,4443,2226.5625,2296.875,3023.4375,3046.875,3070.3125,3070.3125,3023.4375,2906.25,69600,48000,Tufted Titmouse
7407.421875,70,4520.0852958284495,10669,2304.052734375,5706.298828125,7278.22265625,3165.380859375,3014.6484375,2756.25,2605.517578125,3079.248046875,63945,44100,Scarlet Tanager
5297.16796875,44,3357.9119772274435,7672,1593.45703125,3122.314453125,1937.98828125,3122.314453125,5275.634765625,5835.498046875,5749.365234375,2110.25390625,63945,44100,Blue Jay
7453.125,71,4399.591234802461,11088,5671.875,5953.125,3140.625,5132.8125,7546.875,7523.4375,5320.3125,3703.125,69600,48000,Brown-headed Cowbird
3023.4375,54,2009.6367704220825,4387,3046.875,3093.75,3023.4375,3023.4375,3023.4375,3000.0,3046.875,3046.875,69600,48000,Bald Eagle
1476.5625,42,1109.0801261491836,2174,1382.8125,1476.5625,1453.125,1289.0625,1476.5625,1312.5,1453.125,1500.0,69600,48000,American Crow
4651.171875,23,4168.153689421891,9817,4694.23828125,4694.23828125,4909.5703125,2002.587890625,7170.556640625,4112.841796875,4069.775390625,4112.841796875,63945,44100,Brown-headed Cowbird
2217.919921875,49,1663.3262981669018,3515,2304.052734375,2217.919921875,2325.5859375,2282.51953125,2196.38671875,7062.890625,2196.38671875,2239.453125,63945,44100,Blue Jay
2484.375,51,1708.8807439736054,3597,1382.8125,1406.25,1851.5625,1875.0,2484.375,2554.6875,2460.9375,2484.375,69600,48000,Bald Eagle
3632.8125,58,2562.8682859474306,5283,1828.125,2250.0,2015.625,2250.0,4007.8125,3562.5,3820.3125,3773.4375,69600,48000,Scarlet Tanager
3445.3125,56,2363.324628283645,4990,3509.912109375,3423.779296875,3445.3125,3359.1796875,3316.11328125,3165.380859375,3186.9140625,3316.11328125,63945,44100,Blue Jay
3509.912109375,18,2363.324628283645,128,3057.71484375,2454.78515625,3229.98046875,3273.046875,3552.978515625,3466.845703125,3466.845703125,1335.05859375,63945,44100,Red-winged Blackbird
1242.1875,22,733.5940396033876,663,2132.8125,2085.9375,1359.375,1218.75,1242.1875,1242.1875,1289.0625,1242.1875,69600,48000,Canada Goose
3531.4453125,57,2428.0503191005596,113,1442.724609375,1227.392578125,6244.62890625,4586.572265625,4005.17578125,3746.77734375,3639.111328125,3596.044921875,63945,44100,Red-winged Blackbird
3014.6484375,54,2121.2222434897826,4398,3746.77734375,1507.32421875,1291.9921875,3639.111328125,3811.376953125,3897.509765625,3768.310546875,3746.77734375,63945,44100,Scarlet Tanager
2713.18359375,52,1903.9211763064616,3947,1528.857421875,2497.8515625,2583.984375,2691.650390625,2670.1171875,2670.1171875,2325.5859375,1636.5234375,63945,44100,Tufted Titmouse
3960.9375,59,3741.1620115459477,5722,6304.6875,6304.6875,6257.8125,6281.25,5578.125,6281.25,3984.375,3937.5,69600,48000,Carolina Chickadee
1617.1875,44,1235.6632525954,3281,3164.0625,1617.1875,1664.0625,1687.5,2109.375,2250.0,2015.625,2179.6875,69600,48000,Bald Eagle
3165.380859375,55,2179.317341151332,4595,3186.9140625,3682.177734375,2691.650390625,1873.388671875,3014.6484375,2885.44921875,2906.982421875,2863.916015625,63945,44100,Red-winged Blackbird
3552.978515625,57,2428.0503191005596,5173,5383.30078125,5641.69921875,5813.96484375,5167.96875,4414.306640625,4091.30859375,3789.84375,3552.978515625,63945,44100,Red-winged Blackbird
3445.3125,58,2779.2601035454527,6101,3552.978515625,3423.779296875,3359.1796875,4026.708984375,4866.50390625,4306.640625,4177.44140625,4048.2421875,63945,44100,Red-winged Blackbird
5695.3125,65,3449.8769869545595,8244,5718.75,5695.3125,5554.6875,5507.8125,5343.75,5367.1875,5554.6875,5554.6875,69600,48000,Blue Jay
6351.5625,68,3843.623303895436,9301,6328.125,4992.1875,4640.625,6703.125,6515.625,6468.75,5976.5625,4125.0,69600,48000,Brown-headed Cowbird
1593.45703125,43,1235.6632525954,2322,1205.859375,1335.05859375,1528.857421875,1679.58984375,1335.05859375,1227.392578125,1614.990234375,1636.5234375,63945,44100,American Crow
2002.587890625,16,1533.8205349388509,468,1894.921875,1937.98828125,1270.458984375,1593.45703125,5254.1015625,2024.12109375,1571.923828125,1614.990234375,63945,44100,Mallard
1012.060546875,20,785.9936138607725,104,1464.2578125,1916.455078125,1335.05859375,1205.859375,9259.27734375,1765.72265625,1464.2578125,1270.458984375,63945,44100,Blue Jay
5437.5,64,3268.398522453182,7622,5367.1875,5062.5,5320.3125,5343.75,2695.3125,5531.25,5484.375,5367.1875,69600,48000,Rose-breasted Grosbeak
3079.248046875,55,2363.324628283645,4965,3057.71484375,1873.388671875,3359.1796875,2540.91796875,3229.98046875,3423.779296875,3079.248046875,2239.453125,63945,44100,American Robin
1171.875,14,707.3942524746952,419,1968.75,1312.5,1429.6875,1289.0625,6632.8125,1500.0,1570.3125,1945.3125,69600,48000,Blue Jay
4177.44140625,60,2779.2601035454527,6064,4155.908203125,4198.974609375,4155.908203125,4155.908203125,6653.759765625,6352.294921875,6352.294921875,6309.228515625,63945,44100,Carolina Chickadee
1162.79296875,38,943.1923366329269,1715,1205.859375,1701.123046875,1528.857421875,1485.791015625,1442.724609375,1442.724609375,1335.05859375,1291.9921875,63945,44100,American Crow
4737.3046875,62,3096.466610829576,6873,1959.521484375,1528.857421875,2691.650390625,2347.119140625,5706.298828125,4931.103515625,4844.970703125,4737.3046875,63945,44100,Red-winged Blackbird
3079.248046875,56,2121.2222434897826,4444,3596.044921875,3057.71484375,2583.984375,3488.37890625,3014.6484375,2239.453125,2110.25390625,2174.853515625,63945,44100,American Robin
2812.5,53,1903.9211763064616,4057,2507.8125,2554.6875,2578.125,2320.3125,2789.0625,2882.8125,4148.4375,5882.8125,69600,48000,Rose-breasted Grosbeak
1442.724609375,41,1109.0801261491836,2102,1356.591796875,1744.189453125,1787.255859375,1421.19140625,1335.05859375,1442.724609375,1378.125,1291.9921875,63945,44100,American Crow
2531.25,51,1755.6828148163845,3672,2531.25,2531.25,2554.6875,2531.25,2554.6875,2531.25,2531.25,2484.375,69600,48000,Tufted Titmouse
3304.6875,13,2179.317341151332,109,2203.125,1359.375,1335.9375,2625.0,3351.5625,2414.0625,1945.3125,3445.3125,69600,48000,Red-winged Blackbird
4757.8125,62,2300.3243609551837,5074,3492.1875,4875.0,4781.25,4757.8125,4757.8125,4664.0625,4546.875,4687.5,69600,48000,Carolina Chickadee
1055.126953125,19,864.5929752468496,199,1550.390625,1291.9921875,1421.19140625,7687.353515625,1916.455078125,2304.052734375,1313.525390625,1313.525390625,63945,44100,Rose-breasted Grosbeak
3079.248046875,54,2121.2222434897826,5201,3509.912109375,2583.984375,4457.373046875,2411.71875,3746.77734375,4715.771484375,4586.572265625,4909.5703125,63945,44100,Scarlet Tanager
3229.98046875,28,2239.003521681573,4676,1270.458984375,1550.390625,1442.724609375,2476.318359375,2583.984375,3208.447265625,1485.791015625,1442.724609375,63945,44100,Rose-breasted Grosbeak
2859.375,53,1956.0649283422904,4121,2859.375,2835.9375,2859.375,2765.625,2835.9375,2929.6875,2835.9375,2835.9375,69600,48000,Carolina Chickadee
1851.85546875,46,1376.6937462995018,2682,1959.521484375,1614.990234375,1808.7890625,1830.322265625,1830.322265625,1701.123046875,2002.587890625,1378.125,63945,44100,Mallard
3632.8125,13,4520.0852958284495,379,1265.625,2625.0,2648.4375,3656.25,3656.25,3632.8125,10242.1875,10992.1875,69600,48000,Brown-headed Cowbird
2812.5,53,1903.9211763064616,4092,2882.8125,2882.8125,3257.8125,3375.0,3304.6875,2953.125,3351.5625,2859.375,69600,48000,Red-winged Blackbird
3445.3125,57,2428.0503191005596,5111,2433.251953125,5060.302734375,3703.7109375,3552.978515625,3423.779296875,3531.4453125,3488.37890625,3402.24609375,63945,44100,Red-winged Blackbird
5900.09765625,14,3741.1620115459477,262,3359.1796875,3359.1796875,4349.70703125,4328.173828125,5921.630859375,6761.42578125,6029.296875,2799.31640625,63945,44100,Indigo Bunting
2015.625,13,1453.1349346829675,252,2062.5,8343.75,1968.75,2132.8125,2062.5,1664.0625,2203.125,2179.6875,69600,48000,Mallard
