peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,        rms_min,rms_max,rms_mean,rms_std,flat_min,flat_max,flat_mean,flat_std,        rolloff_min,rolloff_max,rolloff_mean,rolloff_std,        band_cont0,sum_cont0,min_cont0,max_cont0,mean_cont0,std_cont0,        band_cont1,sum_cont1,min_cont1,max_cont1,mean_cont1,std_cont1,        band_cont2,sum_cont2,min_cont2,max_cont2,mean_cont2,std_cont2,        num_samples,sample_rate,species
3617.578125,57,2428.0503191005596,5249,3100.78125,3682.177734375,3466.845703125,7149.0234375,3014.6484375,4608.10546875,0.008116268,0.08507394,0.032334935,0.01664234,8.658065e-05,0.0066714534,0.0017938071,0.00154432,3789.84375,9366.943359375,6410.00390625,1708.1281208700736,6,4638.356382464865,19.622729300321886,50.33058661601488,37.10685105971892,6.016026279932474,5,3430.4322652151836,12.146800107237144,41.777707562301856,27.44345812172147,5.743182770317483,4,2126.789104379346,9.936541369964017,30.210644982756676,17.01431283503477,4.012146220190469,63945,44100,American Goldfinch
7101.5625,70,4399.591234802461,10288,7148.4375,7125.0,10617.1875,6398.4375,5882.8125,5882.8125,0.0040090815,0.075495936,0.021341614,0.02356318,1.7824721e-05,0.022563638,0.008031326,0.006669888,7476.5625,11578.125,9864.430147058823,1174.952503685958,6,5320.751959447587,31.431766508653162,51.069428209606684,39.123176172408726,6.662468454419904,5,2155.4671126409435,9.883582623504921,27.411901325299123,15.849022887065761,3.2256374135100088,4,2124.8544031247766,9.967425913570985,27.221781804491805,15.623929434741004,3.3858081466731287,69600,48000,Tufted Titmouse
2433.251953125,50,1755.6828148163845,3517,1162.79296875,1356.591796875,1916.455078125,3036.181640625,2131.787109375,2088.720703125,0.009020218,0.17176035,0.035748582,0.04004082,4.776486e-05,0.044582356,0.008822391,0.007289788,3014.6484375,11950.927734375,9169.69921875,2791.7070297182217,6,4188.52882637033,19.858560914912424,35.902643810224276,33.508230610962634,1.8663260515178266,2,2175.155532100545,11.131494631722996,29.552916728774594,17.401244256804357,3.039589837843242,4,2170.3794500628605,9.263368713158266,29.49255764553648,17.363035600502883,5.530832376924117,63945,44100,American Robin
3854.443359375,59,2855.377251401062,6283,2583.984375,3316.11328125,4909.5703125,3703.7109375,2411.71875,4414.306640625,0.0071924706,0.04149875,0.013662228,0.008456652,0.0002800202,0.011548065,0.0042142696,0.0022063782,4177.44140625,9280.810546875,7270.9875,1212.953520631471,6,4034.9135578132837,27.894897440195034,39.69745243471079,32.27930846250627,2.2457478251832677,3,2687.3357164323766,14.311625295140836,35.60354380714968,21.498685731459013,3.330656487672567,5,2578.2073216394137,12.00602653185165,39.79765799311515,20.62565857311531,5.4690164614365315,63945,44100,Indigo Bunting
4177.44140625,60,2779.2601035454527,6067,3617.578125,4177.44140625,3337.646484375,4198.974609375,4306.640625,3897.509765625,0.022644183,0.24270649,0.08452434,0.065550834,6.227346e-05,0.0024368758,0.0004986279,0.00037357662,1679.58984375,5921.630859375,4396.735546875,673.9769239211913,6,4196.958345477373,17.340174219354054,42.85895120090948,33.57566676381898,4.405154409520726,5,3021.155242735133,12.630429296748622,32.41717254266604,24.169241941881065,5.634345086046098,4,1845.8296573960974,9.207699621675943,25.568084167436055,14.76663725916878,2.7979782064139997,63945,44100,American Goldfinch
5625.0,65,3449.8769869545595,8181,3117.1875,3539.0625,2976.5625,5601.5625,5671.875,5648.4375,0.005850956,0.14828816,0.014302754,0.024287684,3.6213252e-05,0.010305702,0.0045600184,0.0019028888,6281.25,8835.9375,7974.264705882353,605.7600681159254,6,4244.449826360408,24.831700927735472,44.71533134689538,31.209189899708885,3.709688755523193,5,2977.8581839263225,16.950723847377517,34.48579131440407,21.896016058281784,2.99305325594955,4,2509.5888570360726,11.237000002676,32.4987954926058,18.452859242912297,4.25119095307371,69600,48000,Rose-breasted Grosbeak
1722.65625,44,1304.273695349327,2500,1033.59375,1119.7265625,4005.17578125,1679.58984375,1658.056640625,1614.990234375,0.005137542,0.1314931,0.02951015,0.032466967,2.7739394e-05,0.017203439,0.0072183036,0.006380284,2713.18359375,9366.943359375,7145.750390625,1911.287023979691,6,4023.854592110196,28.718198204467114,40.39249223529488,32.190836736881565,2.272164150489303,4,2460.6514221520497,9.816837862703112,38.121336659126726,19.685211377216397,6.647148829175678,1,2303.884437436761,4.486825721188875,27.35453491773682,18.43107549949409,3.538231409480011,63945,44100,Blue Jay
1270.458984375,39,1022.7276958555574,1863,1248.92578125,1313.525390625,1270.458984375,1270.458984375,1636.5234375,1227.392578125,0.05226742,0.19383799,0.12000945,0.029169371,5.9483966e-05,0.0015831535,0.00022418564,0.00016725041,3251.513671875,5749.365234375,4236.01171875,637.8284522133047,6,4780.065087437857,18.468502843209336,47.10450908279,38.24052069950286,4.1389498891043095,4,2596.588462152332,14.994189615655793,28.798896915145257,20.772707697218657,2.6402341414999073,3,2428.560081366856,9.942077974423333,37.64032688361827,19.428480650934848,3.9252908815542225,63945,44100,American Crow
2239.453125,49,1618.9862188629947,4348,3014.6484375,2993.115234375,2993.115234375,2993.115234375,2217.919921875,2196.38671875,0.0064988346,0.39367518,0.06966221,0.11917954,2.5883513e-05,0.0032423593,0.0016115477,0.00093294826,2799.31640625,6503.02734375,4784.333203125,782.2281385728505,6,3663.7942057198184,24.032265588785556,45.21670437686528,29.310353645758546,6.713449821584864,4,2695.1732614593006,13.444741430304083,36.10821010163371,21.561386091674404,4.73043922663394,5,2345.397985171307,10.812110180013766,34.522155977949936,18.763183881370455,5.731169848726498,63945,44100,Blue Jay
2437.5,13,2779.2601035454527,3515,4195.3125,2414.0625,2554.6875,5882.8125,2414.0625,2414.0625,0.046849597,0.14837496,0.08042857,0.02080837,0.00014228198,0.0042803134,0.0012424666,0.0006995905,4242.1875,8179.6875,5702.895220588235,565.0782647613885,6,4849.479594075496,19.001339667699906,48.16939664711084,35.65793819173159,3.3738050380765885,5,2539.503535051125,13.17395797921667,28.39579779872546,18.672820110670035,3.0085274783838036,4,2340.0084256709633,9.423750129679222,33.4848486876009,17.20594430640414,4.025999105181434,69600,48000,Carolina Chickadee
