peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,        rms_min,rms_max,rms_mean,rms_std,flat_min,flat_max,flat_mean,flat_std,        rolloff_min,rolloff_max,rolloff_mean,rolloff_std,        num_samples,sample_rate,species
3726.5625,58,2428.0503191005596,5414,1078.125,3703.125,4828.125,4335.9375,3726.5625,3703.125,0.005938461,0.33809412,0.04035692,0.07080896,9.472873e-06,0.041256286,0.012681053,0.00927323,4687.5,13992.1875,9422.90900735294,2678.5180509399497,69600,48000,American Goldfinch
5297.16796875,64,3357.9119772274435,7644,5469.43359375,5383.30078125,1636.5234375,5900.09765625,3897.509765625,6352.294921875,0.0076881205,0.094872944,0.042462196,0.022005549,2.683811e-05,0.00485502,0.001229107,0.0012981739,4672.705078125,8268.75,6053.75859375,794.7792688583227,63945,44100,American Goldfinch
7170.556640625,69,4399.591234802461,10404,7192.08984375,6309.228515625,6998.291015625,7299.755859375,7342.822265625,7342.822265625,0.009274785,0.27268818,0.09973565,0.07222402,1.7602853e-05,0.011523373,0.0024002176,0.0031406009,6998.291015625,10680.46875,7962.80625,1208.4415053386977,63945,44100,Carolina Chickadee
2648.4375,51,1803.7666800985344,3821,1640.625,2437.5,2625.0,2531.25,2320.3125,2507.8125,0.0051548076,0.071931176,0.018313901,0.017604612,9.472125e-06,0.0019148112,0.00058261445,0.0004614504,2882.8125,4359.375,3779.296875,400.3261694891133,69600,48000,Eastern Bluebird
2562.451171875,51,1853.1674450398705,3693,2605.517578125,2583.984375,2799.31640625,2390.185546875,2045.654296875,2153.3203125,0.004816587,0.1204315,0.02756414,0.025051983,2.6706071e-05,0.02187323,0.005145598,0.005732488,2648.583984375,12424.658203125,7227.92109375,3689.519854308334,63945,44100,American Robin
5275.634765625,17,3357.9119772274435,7646,4672.705078125,3316.11328125,925.927734375,5361.767578125,5318.701171875,2863.916015625,0.008931501,0.064135715,0.026659276,0.015032393,0.00013293882,0.004573822,0.0014559429,0.0010646418,4651.171875,8634.814453125,6202.2515625,956.7294416532095,63945,44100,American Goldfinch
4091.30859375,59,2705.1720466601614,5941,4091.30859375,4134.375,6395.361328125,5598.6328125,3768.310546875,3186.9140625,0.013637611,0.30741012,0.093451,0.079306014,1.1825665e-05,0.012847269,0.001466523,0.0019932655,3983.642578125,8441.015625,5969.3484375,1172.585498627235,63945,44100,American Goldfinch
3531.4453125,14,2428.0503191005596,5136,2648.583984375,4500.439453125,3660.64453125,3423.779296875,5620.166015625,3509.912109375,0.0047495137,0.014366304,0.007772764,0.0019070595,7.529608e-05,0.004040387,0.0009752982,0.0007257516,2842.3828125,6352.294921875,4251.86015625,881.3727233369104,63945,44100,Blue Jay
8656.34765625,72,5173.901310238113,12558,8484.08203125,8247.216796875,7902.685546875,7493.5546875,6933.69140625,7342.822265625,0.0027604068,0.08801466,0.020188108,0.023487175,3.1001517e-05,0.052339014,0.022944195,0.019829692,8010.3515625,13824.31640625,11442.055078125,2237.1023470710393,63945,44100,American Robin
3208.447265625,52,2239.003521681573,4702,5835.498046875,6373.828125,3165.380859375,2799.31640625,2540.91796875,3294.580078125,0.0058595114,0.4526237,0.059731826,0.096208006,8.3943505e-06,0.018080182,0.0060536955,0.0054513277,2842.3828125,11132.666015625,7509.919921875,2278.0710682906542,63945,44100,American Robin
